Common Name,Alpha Code,Oldbird Spectrogram,Oldbird Nocturnal Spectrogram,Link
White-crowned Pigeon,WCPI,N,N,http://oldbird.org/pubs/fcmb/species/doves/wcpi/wcpi.htm
Eurasian Collared-dDve,EUCD,Y,N,http://oldbird.org/pubs/fcmb/species/doves/codo/codo.htm
White-winged Dove,WWDO,N,N,http://oldbird.org/pubs/fcmb/species/doves/wwdo/wwdo.htm
Mourning Dove,MODO,N,N,http://oldbird.org/pubs/fcmb/species/doves/modo/modo.htm
Black-billed Cuckoo,BBCU,Y,Y,http://oldbird.org/pubs/fcmb/species/cuckoos/bbcu/bbcu.htm
Yellow-billed Cuckoo,YBCU,Y,Y,http://oldbird.org/pubs/fcmb/species/cuckoos/ybcu/ybcu.htm
Groove-billed Ani,GBAN,Y,N,http://oldbird.org/pubs/fcmb/species/cuckoos/gban/gban.htm
Barn Owl,BANO,Y,Y,http://oldbird.org/pubs/fcmb/species/owls/bnow/bnow.htm
Snowy Owl,SNOW,N,N,http://oldbird.org/pubs/fcmb/species/owls/snow/snow.htm
Northern Hawk Owl,NHOW,N,N,http://oldbird.org/pubs/fcmb/species/owls/nhow/nhow.htm
Burrowing Owl,BUOW,N,N,http://oldbird.org/pubs/fcmb/species/owls/buow/buow.htm
Great Gray Owl,GGOW,N,N,http://oldbird.org/pubs/fcmb/species/owls/ggow/ggow.htm
Long-eared Owl,LEOW,N,N,http://oldbird.org/pubs/fcmb/species/owls/leow/leow.htm
Short-eared Owl,SEOW,N,N,http://oldbird.org/pubs/fcmb/species/owls/seow/seow.htm
Boreal Owl,BOOW,N,N,http://oldbird.org/pubs/fcmb/species/owls/boow/boow.htm
Northern Saw-whet Owl,NSWO,Y,N,http://oldbird.org/pubs/fcmb/species/owls/nswo/nswo.htm
Antillean Nighthawk,ANNI,Y,N,http://oldbird.org/pubs/fcmb/species/goatsuck/anni/anni.htm
Common Nighthawk,CONI,Y,Y,http://oldbird.org/pubs/fcmb/species/goatsuck/coni/coni.htm
Lesser Nighthawk,LENI,Y,N,http://oldbird.org/pubs/fcmb/species/goatsuck/leni/leni.htm
Chuck-wills-widow,CWWI,Y,Y,http://oldbird.org/pubs/fcmb/species/goatsuck/cwwi/cwwi.htm
Eastern Whip-poor-will,EWPW,Y,Y,http://oldbird.org/pubs/fcmb/species/goatsuck/wpwi/whip.htm
Chimney Swift,CHSW,Y,Y,http://oldbird.org/pubs/fcmb/species/goatsuck/chsw/chsw.htm
Buff-bellied Hummingbird,BBEH,Y,N,http://oldbird.org/pubs/fcmb/species/humming/bbhu/bbhu.htm
Ruby-throated Hummingbird,RTHU,Y,N,http://oldbird.org/pubs/fcmb/species/humming/rthu/rthu.htm
Black-chinned Hummingbird,BCHU,Y,N,http://oldbird.org/pubs/fcmb/species/humming/bchu/bchu.htm
Calliope Hummingbird,CAHU,Y,N,http://oldbird.org/pubs/fcmb/species/humming/cahu/cahu.htm
Broad-tailed Hummingbird,BTHU,Y,N,http://oldbird.org/pubs/fcmb/species/humming/bthu/bthu.htm
Rufous Hummingbird,RUHU,Y,N,http://oldbird.org/pubs/fcmb/species/humming/ruhu/ruhu.htm
Belted Kingfisher,BEKI,Y,N,http://oldbird.org/pubs/fcmb/species/kingfish/beki/beki.htm
Red-headed Woodpecker,RHWO,Y,Y,http://oldbird.org/pubs/fcmb/species/woodpec/rhwo/rhwo.htm
Red-bellied Woodpecker,RBWO,Y,N,http://oldbird.org/pubs/fcmb/species/woodpec/rbwo/rbwo.htm
Yellow-bellied Sapsucker,YBSA,Y,Y,http://oldbird.org/pubs/fcmb/species/woodpec/ybsa/ybsa.htm
Downy Woodpecker,DOWO,Y,N,http://oldbird.org/pubs/fcmb/species/woodpec/dowo/dowo.htm
Hairy Woodpecker,HAWO,Y,N,http://oldbird.org/pubs/fcmb/species/woodpec/hawo/hawo.htm
American Three-toed Woodpecker,ATTW,Y,Y,http://oldbird.org/pubs/fcmb/species/woodpec/ttwo/ttwo.htm
Black-backed Woodpecker,BBWO,Y,Y,http://oldbird.org/pubs/fcmb/species/woodpec/bbwo/bbwo.htm
Northern Flicker,NOFL,Y,N,http://oldbird.org/pubs/fcmb/species/woodpec/nofl/nofl.htm
Olive-sided Flycatcher,OSFL,Y,Y,http://oldbird.org/pubs/fcmb/species/flycatch/osfl/osfl.htm
Eastern Wood-pewee,EAWP,Y,N,http://oldbird.org/pubs/fcmb/species/flycatch/ewpe/ewpe.htm
Yellow-bellied Flycatcher,YBFL,Y,N,http://oldbird.org/pubs/fcmb/species/flycatch/ybfl/ybfl.htm
Acadian Flycatcher,ACFL,Y,N,http://oldbird.org/pubs/fcmb/species/flycatch/acfl/acfl.htm
Alder Flycatcher,ALFL,Y,N,http://oldbird.org/pubs/fcmb/species/flycatch/alfl/alfl.htm
Willow Flycatcher,WIFL,Y,N,http://oldbird.org/pubs/fcmb/species/flycatch/wifl/wifl.htm
Least Flycatcher,LEFL,Y,Y,http://oldbird.org/pubs/fcmb/species/flycatch/lefl/lefl.htm
Eastern Phoebe,EAPH,Y,N,http://oldbird.org/pubs/fcmb/species/flycatch/eaph/eaph.htm
Vermilion Flycatcher,VEFL,Y,N,http://oldbird.org/pubs/fcmb/species/flycatch/vefl/vefl.htm
Ash-throated Flycatcher,ATFL,Y,N,http://oldbird.org/pubs/fcmb/species/flycatch/atfl/atfl.htm
Great Crested Flycatcher,GCFL,Y,N,http://oldbird.org/pubs/fcmb/species/flycatch/gcfl/gcfl.htm
Western Kingbird,WEKI,Y,N,http://oldbird.org/pubs/fcmb/species/flycatch/weki/weki.htm
Eastern Kingbird,EAKI,Y,Y,http://oldbird.org/pubs/fcmb/species/flycatch/eaki/eaki.htm
Gray Kingbird,GRAK,Y,N,http://oldbird.org/pubs/fcmb/species/flycatch/grki/grki.htm
Scissor-tailed Flycatcher,STFL,Y,N,http://oldbird.org/pubs/fcmb/species/flycatch/stfl/stfl.htm
Loggerhead Shrike,LOSH,N,N,http://oldbird.org/pubs/fcmb/species/shrikes/losh/losh.htm
Northern Shrike,NSHR,N,N,http://oldbird.org/pubs/fcmb/species/shrikes/nshr/nshr.htm
White-eyed Vireo,WEVI,N,N,http://oldbird.org/pubs/fcmb/species/shrikes/wevi/wevi.htm
Bell's Vireo,BEVI,N,N,http://oldbird.org/pubs/fcmb/species/shrikes/bevi/bevi.htm
Black-capped Vireo,BCVI,N,N,http://oldbird.org/pubs/fcmb/species/shrikes/bcvi/bcvi.htm
Yellow-throated Vireo,YTVI,N,N,http://oldbird.org/pubs/fcmb/species/shrikes/ytvi/ytvi.htm
Blue-headed Vireo,BHVI,N,N,http://oldbird.org/pubs/fcmb/species/shrikes/bhvi/bhvi.htm
Warbling Vireo,WAVI,Y,N,http://oldbird.org/pubs/fcmb/species/shrikes/wavi/wavi.htm
Philadelphia Vireo,PHVI,N,N,http://oldbird.org/pubs/fcmb/species/shrikes/phvi/phvi.htm
Red-eyed Vireo,REVI,Y,N,http://oldbird.org/pubs/fcmb/species/shrikes/revi/revi.htm
Black-whiskered Vireo,BWVI,N,N,http://oldbird.org/pubs/fcmb/species/shrikes/bwvi/bwvi.htm
Blue Jay,BLJA,Y,N,http://oldbird.org/pubs/fcmb/species/crows/blja/blja.htm
Black-billed Magpie,BBMA,Y,N,http://oldbird.org/pubs/fcmb/species/crows/bbma/bbma.htm
American Crow,AMCR,Y,Y,http://oldbird.org/pubs/fcmb/species/crows/amcr/amcr.htm
Fish Crow,FICR,Y,N,http://oldbird.org/pubs/fcmb/species/crows/ficr/ficr.htm
Common Raven,CORA,Y,N,http://oldbird.org/pubs/fcmb/species/crows/cora/cora.htm
Horned Lark,HOLA,Y,N,http://oldbird.org/pubs/fcmb/species/larks/hola/hola.htm
Purple Martin,PUMA,Y,N,http://oldbird.org/pubs/fcmb/species/swallows/puma/puma.htm
Tree Swallow,TRES,Y,N,http://oldbird.org/pubs/fcmb/species/swallows/trsw/trsw.htm
Bank Swallow,BANS,Y,N,http://oldbird.org/pubs/fcmb/species/swallows/bans/bans.htm
Cliff Swallow,CLSW,Y,N,http://oldbird.org/pubs/fcmb/species/swallows/clsw/clsw.htm
Northern Rough-winged Swallow,NRWS,Y,N,http://oldbird.org/pubs/fcmb/species/swallows/nrws/nrws.htm
Cave Swallow,CASW,Y,N,http://oldbird.org/pubs/fcmb/species/swallows/casw/casw.htm
Barn Swallow,BARS,Y,N,http://oldbird.org/pubs/fcmb/species/swallows/bars/bars.htm
Black-capped Chickadee,BCCH,Y,N,http://oldbird.org/pubs/fcmb/species/chickad/bcch/bcch.htm
Boreal Chickadee,BOCH,Y,N,http://oldbird.org/pubs/fcmb/species/chickad/boch/boch.htm
Tufted Titmouse,TUTI,Y,N,http://oldbird.org/pubs/fcmb/species/chickad/etti/etti.htm
Red-breasted Nuthatch,RBNU,Y,Y,http://oldbird.org/pubs/fcmb/species/nuthatch/rbnu/rbnu.htm
White-breasted Nuthatch,WBNU,Y,N,http://oldbird.org/pubs/fcmb/species/nuthatch/wbnu/wbnu.htm
Brown Creeper,BRCR,Y,N,http://oldbird.org/pubs/fcmb/species/nuthatch/brcr/brcr.htm
Bewick's Wren,BEWR,N,N,http://oldbird.org/pubs/fcmb/species/wrens/bewr/bewr.htm
House Wren,HOWR,N,N,http://oldbird.org/pubs/fcmb/species/wrens/howr/howr.htm
Winter Wren,WIWR,N,N,http://oldbird.org/pubs/fcmb/species/wrens/wiwr/wiwr.htm
Sedge Wren,SEWR,N,N,http://oldbird.org/pubs/fcmb/species/wrens/sewr/sewr.htm
Marsh Wren,MAWR,N,N,http://oldbird.org/pubs/fcmb/species/wrens/mawr/mawr.htm
Golden-crowned Kinglet,GCKI,Y,Y,http://oldbird.org/pubs/fcmb/species/kinglets/gcki/gcki.htm
Ruby-crowned Kinglet,RCKI,Y,N,http://oldbird.org/pubs/fcmb/species/kinglets/rcki/rcki.htm
Blue-gray Gnatchatcher,BGGN,Y,N,http://oldbird.org/pubs/fcmb/species/kinglets/bggn/bggn.htm
Northern Wheatear,NOWH,N,N,http://oldbird.org/pubs/fcmb/species/thrushes/nowh/nowh.htm
Eastern Bluebird,EABL,Y,Y,http://oldbird.org/pubs/fcmb/species/thrushes/eabl/eabl.htm
Mountain Bluebird,MOBL,Y,Y,http://oldbird.org/pubs/fcmb/species/thrushes/mobl/mobl.htm
Veery,VEER,Y,Y,http://oldbird.org/pubs/fcmb/species/thrushes/veer/veer.htm
Gray-cheeked Thrush,GCTH,Y,Y,http://oldbird.org/pubs/fcmb/species/thrushes/gcth/gcth.htm
Bicknell's Thrush,BITH,Y,Y,http://oldbird.org/pubs/fcmb/species/thrushes/bith/bith.htm
Swainson's Thrush,SWTH,Y,Y,http://oldbird.org/pubs/fcmb/species/thrushes/swth/swth.htm
Hermit Thrush,HETH,Y,Y,http://oldbird.org/pubs/fcmb/species/thrushes/heth/heth.htm
Wood Thrush,WOTH,Y,Y,http://oldbird.org/pubs/fcmb/species/thrushes/woth/woth.htm
American Robin,AMRO,Y,Y,http://oldbird.org/pubs/fcmb/species/thrushes/amro/amro.htm
Gray Catbird,GRCA,Y,Y,http://oldbird.org/pubs/fcmb/species/mimids/grca/grca.htm
Northern Mockingbird,NOMO,Y,N,http://oldbird.org/pubs/fcmb/species/mimids/nomo/nomo.htm
Brown Thrasher,BRTH,Y,Y,http://oldbird.org/pubs/fcmb/species/mimids/brth/brth.htm
European Starling,EUST,Y,Y,http://oldbird.org/pubs/fcmb/species/starlings/eust/eust.htm
American Pipit,AMPI,Y,Y,http://oldbird.org/pubs/fcmb/species/pipits/ampi/ampi.htm
Sprague's Pipit,SPPI,Y,N,http://oldbird.org/pubs/fcmb/species/pipits/sppi/sppi.htm
Bohemian Waxwing,BOWA,Y,N,http://oldbird.org/pubs/fcmb/species/waxwings/bowa/bowa.htm
Cedar Waxwing,CEDW,Y,Y,http://oldbird.org/pubs/fcmb/species/waxwings/cedw/cedw.htm
Blue-winged Warbler,BWWA,Y,N,http://oldbird.org/pubs/fcmb/species/warblers/bwwa/bwwa.htm
Golden-winged Warbler,GWWA,Y,N,http://oldbird.org/pubs/fcmb/species/warblers/gwwa/gwwa.htm
Tennessee Warbler,TEWA,Y,N,http://oldbird.org/pubs/fcmb/species/warblers/tewa/tewa.htm
Orange-crowned Warbler,OCWA,Y,N,http://oldbird.org/pubs/fcmb/species/warblers/ocwa/ocwa.htm
Nashville Warbler,NAWA,Y,N,http://oldbird.org/pubs/fcmb/species/warblers/nawa/nawa.htm
Northern Parula,NOPA,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/nawa/nawa.htm
Yellow Warbler,YEWA,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/yewa/yewa.htm
Chestnut-sided Warbler,CSWA,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/cswa/cswa.htm
Magnolia Warbelr,MAWA,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/mawa/mawa.htm
Cape May Warbler,CMWA,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/cmwa/cmwa.htm
Black-throated Blue Warbler,BTBW,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/btbw/btbw.htm
Yellow-rumped Warbler,YRWA,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/yrwa/yrwa.htm
Black-throated Green Warbler,BTNW,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/btnw/btnw.htm
Golden-cheeked Warbler,GCWA,Y,N,http://oldbird.org/pubs/fcmb/species/warblers/gcwa/gcwa.htm
Blackburnian Warbler,BLBW,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/blbw/blbw.htm
Yellow-throated Warbler,YTWA,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/ytwa/ytwa.htm
Pine Warbler,PIWA,Y,N,http://oldbird.org/pubs/fcmb/species/warblers/piwa/piwa.htm
Kirtland's Warbler,KIWA,Y,N,http://oldbird.org/pubs/fcmb/species/warblers/kiwa/kiwa.htm
Prairie Warbler,PRAW,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/praw/prwa.htm
Palm Warbler,PAWA,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/pawa/pawa.htm
Bay-breasted Warbler,BBWA,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/bbwa/babw.htm
Blackpoll Warbler,BLPW,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/blpw/blpw.htm
Cerulean Warbler,CERW,Y,N,http://oldbird.org/pubs/fcmb/species/warblers/cerw/cewa.htm
Black-and-white Warbler,BAWW,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/baww/baww.htm
American Redstart,AMRE,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/amre/amre.htm
Prothonotary Warbler,PROW,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/prow/prow.htm
Worm-eating Warbler,WEWA,Y,N,http://oldbird.org/pubs/fcmb/species/warblers/wewa/wewa.htm
Swainson's Warbler,SWWA,Y,N,http://oldbird.org/pubs/fcmb/species/warblers/swwa/swwa.htm
Ovenbird,OVEN,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/oven/oven.htm
Northern Waterthrush,NOWA,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/nowa/nowa.htm
Louisiana Waterthrush,LOWA,Y,N,http://oldbird.org/pubs/fcmb/species/warblers/lowa/lowa.htm
Kentucky Warbler,KEWA,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/kewa/kewa.htm
Connecticut Warbler,CONW,Y,N,http://oldbird.org/pubs/fcmb/species/warblers/cowa/cowa.htm
Mourning Warbler,MOWA,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/mowa/mowa.htm
Common Yellowthroat,COYE,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/coye/coye.htm
Hooded Warbler,HOWA,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/howa/howa.htm
Wilson's Warbler,WIWA,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/wiwa/wiwa.htm
Canada Warbler,CAWA,Y,Y,http://oldbird.org/pubs/fcmb/species/warblers/cawa/cawa.htm
Yellow-breasted Chat,YBCH,N,N,http://oldbird.org/pubs/fcmb/species/warblers/ybch/ybch.htm
Summer Tanager,SUTA,Y,N,http://oldbird.org/pubs/fcmb/species/grosbeak/suta/suta.htm
Scarlet Tanager,SCTA,Y,Y,http://oldbird.org/pubs/fcmb/species/grosbeak/scta/scta.htm
Rose-breasted Grosbeak,RBGR,Y,Y,http://oldbird.org/pubs/fcmb/species/grosbeak/rbgr/rbgr.htm
Blue Grosbeak,BLGR,Y,Y,http://oldbird.org/pubs/fcmb/species/grosbeak/blgr/blgr.htm
Indigo Bunting,INBU,Y,Y,http://oldbird.org/pubs/fcmb/species/grosbeak/inbu/inbu.htm
Painted Bunting,PABU,Y,Y,http://oldbird.org/pubs/fcmb/species/grosbeak/pabu/pabu.htm
Dickcissel,DICK,Y,Y,http://oldbird.org/pubs/fcmb/species/grosbeak/dick/dick.htm
Spotted Towhee,SPTO,N,N,http://oldbird.org/pubs/fcmb/species/sparrows/spto/spto.htm
Eastern Towhee,EATO,N,N,http://oldbird.org/pubs/fcmb/species/sparrows/eato/eato.htm
Cassin's Sparrow,CASP,N,N,http://oldbird.org/pubs/fcmb/species/sparrows/casp/casp.htm
Bachman's Sparrow,BACS,Y,N,http://oldbird.org/pubs/fcmb/species/sparrows/bacs/bacs.htm
American Tree Sparrow,ATSP,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/atsp/atsp.htm
Chipping Sparrow,CHSP,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/chsp/chsp.htm
Clay-colored Sparrow,CCSP,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/ccsp/ccsp.htm
Field Sparrow,FISP,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/fisp/fisp.htm
Vesper Sparrow,VESP,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/vesp/vesp.htm
Lark Sparrow,LASP,Y,N,http://oldbird.org/pubs/fcmb/species/sparrows/lasp/lasp.htm
Lark Bunting,LARB,Y,N,http://oldbird.org/pubs/fcmb/species/sparrows/larb/larb.htm
Savannah Sparrow,SAVS,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/savs/savs.htm
Grasshopper Sparrow,GRSP,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/grsp/grsp.htm
Baird's Sparrow,BAIS,Y,N,http://oldbird.org/pubs/fcmb/species/sparrows/bais/bais.htm
Henslow's Sparrow,HESP,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/hesp/hesp.htm
Le Conte's Sparrow,LCSP,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/lcsp/lcsp.htm
Nelson's Sparrow,NESP,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/nsts/nsts.htm
Saltmarsh Sparrow,SALS,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/ssts/ssts.htm
Seaside Sparrow,SESP,Y,N,http://oldbird.org/pubs/fcmb/species/sparrows/sesp/sesp.htm
Fox Sparrow,FOSP,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/fosp/fosp.htm
Song Sparrow,SOSP,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/sosp/sosp.htm
Lincoln's Sparrow,LISP,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/lisp/lisp.htm
Swamp Sparrow,SWSP,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/swsp/swsp.htm
White-throated Sparrow,WTSP,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/wtsp/wtsp.htm
Harris's Sparrow,HASP,Y,N,http://oldbird.org/pubs/fcmb/species/sparrows/hasp/hasp.htm
White-crowned Sparrow,WCSP,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/wcsp/wcsp.htm
Dark-eyed Junco,DEJU,Y,Y,http://oldbird.org/pubs/fcmb/species/sparrows/deju/deju.htm
Thick-billed Longspur,TBLO,Y,Y,http://oldbird.org/pubs/fcmb/species/longspur/mclo/mclo.htm
Lapland Longspur,LALO,Y,Y,http://oldbird.org/pubs/fcmb/species/longspur/lalo/lalo.htm
Smith's Longspur,SMLO,Y,N,http://oldbird.org/pubs/fcmb/species/longspur/smlo/smlo.htm
Chestnut-collared Longspur,CCLO,Y,N,http://oldbird.org/pubs/fcmb/species/longspur/cclo/cclo.htm
Snow Bunting,SNBU,Y,Y,http://oldbird.org/pubs/fcmb/species/longspur/snbu/snbu.htm
Bobolink,BOBO,Y,Y,http://oldbird.org/pubs/fcmb/species/blackbir/bobo/bobo.htm
Red-winged Blackbird,RWBL,Y,N,http://oldbird.org/pubs/fcmb/species/blackbir/rwbl/rwbl.htm
Eastern Meadowlark,EAME,Y,Y,http://oldbird.org/pubs/fcmb/species/blackbir/eame/eame.htm
Western Meadowlark,WEME,Y,N,http://oldbird.org/pubs/fcmb/species/blackbir/weme/weme.htm
Yellow-headed Blackbird,YHBL,Y,N,http://oldbird.org/pubs/fcmb/species/blackbir/yhbl/yhbl.htm
Rusty Blackbird,RUBL,Y,N,http://oldbird.org/pubs/fcmb/species/blackbir/rubl/rubl.htm
Brewer's Blackbird,BRBL,Y,N,http://oldbird.org/pubs/fcmb/species/blackbir/brbl/brbl.htm
Common Grackle,COGR,Y,N,http://oldbird.org/pubs/fcmb/species/blackbir/cogr/cogr.htm
Boat-tailed Grackle,BTGR,Y,N,http://oldbird.org/pubs/fcmb/species/blackbir/btgr/btgr.htm
Great-tailed Grackle,GTGR,Y,N,http://oldbird.org/pubs/fcmb/species/blackbir/gtgr/gtgr.htm
Shiny Cowbird,SHCO,Y,N,http://oldbird.org/pubs/fcmb/species/blackbir/shco/shco.htm
Bronzed Cowbird,BROC,Y,N,http://oldbird.org/pubs/fcmb/species/blackbir/brco/brco.htm
Brown-headed Cowbird,BHCO,Y,N,http://oldbird.org/pubs/fcmb/species/blackbir/bhco/bhco.htm
Orchard Oriole,OROR,Y,N,http://oldbird.org/pubs/fcmb/species/blackbir/oror/oror.htm
Baltimore Oriole,BAOR,Y,Y,http://oldbird.org/pubs/fcmb/species/blackbir/baor/baor.htm
Pine Grosbeak,PIGR,Y,N,http://oldbird.org/pubs/fcmb/species/finches/pigr/pigr.htm
Purple Finch,PUFI,Y,N,http://oldbird.org/pubs/fcmb/species/finches/pufi/pufi.htm
House Finch,HOFI,Y,N,http://oldbird.org/pubs/fcmb/species/finches/hofi/hofi.htm
Red Crossbill,RECR,Y,N,http://oldbird.org/pubs/fcmb/species/finches/recr/recr.htm
White-winged Crossbill,WWCR,Y,N,http://oldbird.org/pubs/fcmb/species/finches/wwcr/wwcr.htm
Common Redpoll,CORE,Y,N,http://oldbird.org/pubs/fcmb/species/finches/core/core.htm
Hoary Redpoll,HORE,Y,N,http://oldbird.org/pubs/fcmb/species/finches/hore/hore.htm
Pine Siskin,PISI,Y,N,http://oldbird.org/pubs/fcmb/species/finches/pisi/pisi.htm
American Goldfinch,AMGO,Y,N,http://oldbird.org/pubs/fcmb/species/finches/amgo/amgo.htm
Evening Grosbeak,EVGR,Y,N,http://oldbird.org/pubs/fcmb/species/finches/evgr/evgr.htm