code,low_freq,high_freq,duration,median_duration,approx_duration
ALFL,0.1,5000,0.05,0.043,0.05
AMGO,5000.0,11024,0.05,0.0,0.05
AMGP,0.1,5000,0.15,0.149,0.15
AMOY,0.1,5000,0.1,0.096,0.1
AMPI,5000.0,11024,0.05,0.042,0.05
AMRE,5000.0,11024,0.05,0.053,0.1
AMRO,0.1,5000,0.1,0.082,0.1
AMWO,0.1,5000,0.15,0.123,0.15
ATSP,5000.0,11024,0.1,0.058,0.1
BAOR,5000.0,11024,0.1,0.081,0.1
BAWW,5000.0,11024,0.1,0.064,0.1
BBCU,0.1,5000,0.05,0.042,0.05
BBPL,0.1,5000,0.15,0.128,0.15
BBWA,5000.0,11024,0.05,0.043,0.05
BCCH,5000.0,11024,0.05,0.035,0.05
BCNH,0.1,5000,0.15,0.117,0.15
BHVI,5000.0,11024,0.05,0.023,0.05
BLBW,5000.0,11024,0.05,0.046,0.05
BLGR,5000.0,11024,0.1,0.086,0.1
BLPW,5000.0,11024,0.05,0.053,0.1
BLSC,0.1,5000,0.5,0.272,0.5
BOBO,5000.0,11024,0.1,0.064,0.1
BOCH,5000.0,11024,0.05,0.043,0.05
BRCR,5000.0,11024,0.05,0.036,0.05
BRTH,0.1,5000,0.05,0.026,0.05
BTBW,5000.0,11024,0.05,0.024,0.05
BTNW,5000.0,11024,0.05,0.046,0.05
BWWA,5000.0,11024,0.1,0.056,0.1
CANG,0.1,5000,0.1,0.093,0.1
CAWA,5000.0,11024,0.1,0.058,0.1
CCSP,5000.0,11024,0.05,0.051,0.1
CEDW,5000.0,11024,0.5,0.192,0.5
CERW,5000.0,11024,0.1,0.102,0.15
CHSP,5000.0,11024,0.1,0.081,0.1
CLSW,5000.0,11024,0.1,0.069,0.1
CMWA,5000.0,11024,0.05,0.043,0.05
COGO,0.1,5000,0.5,0.324,0.5
COLO,0.1,5000,0.05,0.043,0.05
CONI,0.1,5000,0.1,0.074,0.1
COTE,0.1,5000,0.05,0.054,0.1
COYE,5000.0,11024,0.05,0.046,0.05
CSWA,5000.0,11024,0.1,0.059,0.1
DEJU,5000.0,11024,0.05,0.047,0.05
DICK,5000.0,11024,0.1,0.086,0.1
DUNL,0.1,5000,0.1,0.101,0.15
EABL,0.1,5000,0.5,0.266,0.5
EVGR,5000.0,11024,0.5,0.176,0.5
FISP,5000.0,11024,0.15,0.111,0.15
FOSP,5000.0,11024,0.1,0.093,0.1
GBHE,0.1,5000,0.1,0.096,0.1
GCFL,0.1,5000,0.05,0.042,0.05
GCKI,5000.0,11024,0.15,0.139,0.15
GCTH,0.1,5000,0.5,0.174,0.5
GRCA,0.1,5000,0.1,0.1,0.1
GRSP,5000.0,11024,0.15,0.11,0.15
GRYE,0.1,5000,0.05,0.053,0.1
GWTE,0.1,5000,0.1,0.075,0.1
GWWA,5000.0,11024,0.05,0.046,0.05
HESP,5000.0,11024,0.15,0.147,0.15
HETH,0.1,5000,0.15,0.128,0.15
HOFI,5000.0,11024,0.15,0.128,0.15
HOLA,5000.0,11024,,1.332,
HOWA,5000.0,11024,0.1,0.058,0.1
INBU,5000.0,11024,0.15,0.11,0.15
KILL,0.1,5000,0.1,0.081,0.1
LALO,5000.0,11024,0.1,0.059,0.1
LASP,5000.0,11024,0.05,0.033,0.05
LBDO,0.1,5000,0.05,0.032,0.05
LESA,0.1,5000,0.15,0.118,0.15
LESP,0.1,5000,0.1,0.064,0.1
LEYE,0.1,5000,0.1,0.064,0.1
LTDU,0.1,5000,0.1,0.082,0.1
MAWA,5000.0,11024,0.1,0.058,0.1
MOWA,5000.0,11024,0.05,0.043,0.05
NAWA,5000.0,11024,0.05,0.043,0.05
NESP,5000.0,11024,0.1,0.091,0.1
NOMO,0.1,5000,0.05,0.046,0.05
NOPA,5000.0,11024,0.05,0.043,0.05
NOWA,5000.0,11024,0.1,0.058,0.1
OCWA,5000.0,11024,0.05,0.043,0.05
OROR,5000.0,11024,0.5,0.202,0.5
OSFL,0.1,5000,0.05,0.032,0.05
OVEN,5000.0,11024,0.05,0.053,0.1
PAWA,5000.0,11024,0.05,0.047,0.05
PESA,0.1,5000,0.15,0.125,0.15
PISI,5000.0,11024,0.1,0.064,0.1
PIWA,5000.0,11024,0.05,0.044,0.05
PRAW,5000.0,11024,0.05,0.046,0.05
PROW,5000.0,11024,0.1,0.065,0.1
PUFI,5000.0,11024,0.05,0.0,0.05
RBGR,5000.0,11024,0.15,0.116,0.15
RBGU,5000.0,11024,0.5,0.235,0.5
RBNU,0.1,5000,0.1,0.104,0.15
RCKI,5000.0,11024,0.5,0.158,0.5
RECR,5000.0,11024,0.05,0.043,0.05
RUTU,0.1,5000,0.1,0.064,0.1
RWBL,5000.0,11024,0.05,0.032,0.05
SAND,0.1,5000,0.05,0.0,0.05
SAVS,5000.0,11024,0.05,0.053,0.1
SBDO,0.1,5000,0.1,0.059,0.1
SCTA,5000.0,11024,0.5,0.157,0.5
SEPL,0.1,5000,0.1,0.085,0.1
SESA,0.1,5000,0.05,0.043,0.05
SESP,5000.0,11024,0.5,0.199,0.5
SNBU,5000.0,11024,0.1,0.086,0.1
SORA,0.1,5000,0.1,0.081,0.1
SOSA,0.1,5000,0.1,0.059,0.1
SOSP,5000.0,11024,0.1,0.096,0.1
SPSA,0.1,5000,0.1,0.072,0.1
STSA,0.1,5000,0.5,0.427,0.5
SWTH,0.1,5000,0.15,0.107,0.15
TEWA,5000.0,11024,0.05,0.046,0.05
TRES,5000.0,11024,0.1,0.069,0.1
UPSA,0.1,5000,0.05,0.038,0.05
VEER,0.1,5000,0.15,0.139,0.15
VESP,5000.0,11024,0.1,0.058,0.1
WCSP,5000.0,11024,0.1,0.07,0.1
WEWA,5000.0,11024,0.1,0.09,0.1
WHIM,0.1,5000,0.05,0.046,0.05
WILL,0.1,5000,0.1,0.075,0.1
WISN,0.1,5000,0.15,0.112,0.15
WIWA,5000.0,11024,0.05,0.035,0.05
WOTH,0.1,5000,0.5,0.162,0.5
WRSA,0.1,5000,0.1,0.061,0.1
WTSP,5000.0,11024,0.1,,0.1
YBFL,0.1,5000,0.15,0.12,0.15
YEWA,5000.0,11024,0.05,0.053,0.1
YRWA,5000.0,11024,0.05,0.043,0.05
YTWA,5000.0,11024,0.1,0.057,0.1
